game_round,map,latency,player_id,player_ip,score
1,aggressor,0,1,Player_138.25.249.38,15.0
1,aggressor,0,2,Player_138.25.249.81,21.0
1,aggressor,0,3,Player_138.25.249.93,11.0
1,aggressor,0,4,Player_138.25.249.94,8.0
1,aggressor,0,5,world,0.0
2,wrackdm17,0,1,Player_138.25.249.38,6.0
2,wrackdm17,0,2,Player_138.25.249.81,6.0
2,wrackdm17,0,3,Player_138.25.249.93,5.0
2,wrackdm17,0,4,Player_138.25.249.94,10.0
2,wrackdm17,0,5,world,1.0
3,aggressor,0,1,Player_138.25.249.38,6.0
3,aggressor,0,2,Player_138.25.249.81,11.0
3,aggressor,0,3,Player_138.25.249.93,16.0
3,aggressor,0,4,Player_138.25.249.94,9.0
3,aggressor,0,5,world,0.0
4,wrackdm17,200,1,Player_138.25.249.38,9.0
4,wrackdm17,200,2,Player_138.25.249.81,6.0
4,wrackdm17,200,3,Player_138.25.249.93,19.0
4,wrackdm17,200,4,Player_138.25.249.94,2.0
4,wrackdm17,200,5,world,0.0
5,aggressor,200,1,Player_138.25.249.38,7.0
5,aggressor,200,2,Player_138.25.249.81,16.0
5,aggressor,200,3,Player_138.25.249.93,20.0
5,aggressor,200,4,Player_138.25.249.94,9.0
5,aggressor,200,5,world,0.0
6,wrackdm17,100,1,Player_138.25.249.38,8.0
6,wrackdm17,100,2,Player_138.25.249.81,11.0
6,wrackdm17,100,3,Player_138.25.249.93,6.0
6,wrackdm17,100,4,Player_138.25.249.94,10.0
6,wrackdm17,100,5,world,0.0
7,aggressor,100,1,Player_138.25.249.38,12.0
7,aggressor,100,2,Player_138.25.249.81,11.0
7,aggressor,100,3,Player_138.25.249.93,19.0
7,aggressor,100,4,Player_138.25.249.94,11.0
7,aggressor,100,5,world,0.0
8,wrackdm17,50,1,Player_138.25.249.38,10.0
8,wrackdm17,50,2,Player_138.25.249.81,7.0
8,wrackdm17,50,3,Player_138.25.249.93,11.0
8,wrackdm17,50,4,Player_138.25.249.94,8.0
8,wrackdm17,50,5,world,0.0
9,aggressor,150,1,Player_138.25.249.38,5.0
9,aggressor,150,2,Player_138.25.249.81,13.0
9,aggressor,150,3,Player_138.25.249.93,16.0
9,aggressor,150,4,Player_138.25.249.94,10.0
9,aggressor,150,5,world,0.0
10,wrackdm17,150,1,Player_138.25.249.38,6.0
10,wrackdm17,150,2,Player_138.25.249.81,15.0
10,wrackdm17,150,3,Player_138.25.249.93,15.0
10,wrackdm17,150,4,Player_138.25.249.94,13.0
10,wrackdm17,150,5,world,0.0
